index,Job Title,Job Description,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,SalaryEstimate,City,State,Headquarter State,Min Salary,Max Salary,Avg Salary,company_age,Job Type,Python,Spark,Big Data,Excel
677,"""Big Data Engineer""",0,41,0,0,1976,Private Company,Industrial Manufacturing,Manufacturing,0,0,Raleigh, NC, NC,null,null,null,48,NA,0,0,0,0
93,(Sr.) Data Scientist -,"Thursday, June 11, 2020  Merrick Bank is a top-25 credit card issuer and merchant acquirer in the VISA/MasterCard networks, and a major recreational vehicle lender. The Bank is a Utah Financial Institution and a member of the FDIC.  At Merrick Bank, we specialize in credit programs that assist people looking to build or rebuild their credit. We are FDIC insured and recognized as a top-20 issuer of Visa� cards. In total, we proudly serve over 2.4 million cardholders and have extended over $5.3 billion in credit.  Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential.  This position is a member (or, a senior member, depending upon qualifications) of the Data Science and Modeling team, and will support and work with other members of the team to produce the models, reports, and analysis as required for the bank. Data science, machine learning and statistical programming are the core competencies of the position, but in addition, the applicant should work well with others, have a desire to learn, be self-motivated, and have excellent communication and presentation skills.  REQUIRED SKILLS, ABILITIES, KNOWLEDGE, AND EXPERIENCE: Master's degree in a relevant quantitative field, or a bachelor�s degree with a significant amount of relevant work experience. Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement. Expertise with R or Python is required. Experience with any of the following computer languages is also desirable: CUDA, FORTRAN or C/C++, SAS, SQL, Unix shell scripting, or LaTeX. Experience with HPC (High Performance Computing), or Parallel Computing would be a plus. Experience with SLURM would be outstanding. Experience in the banking industry, specifically in credit cards, is not necessary, but would be desirable.   PRIMARY DUTIES: Statistical programming, model development and implementation. Communicating results, both verbally and in writing. Work both individually and in a collaborative manner with a team. Designing, validating, and improving data driven decision making processes and strategies. Building key metrics and modeling reports for communication with executives. Compliant with Laws & Regulations.  What�s in it for you:  Competitive salary (DOE)  Benefits package -Medical, Dental and Vision (plus much more)  401(k) Plan with Company Match  Short & Long Term Disability  Group Life and AD&D Insurance  Paid Vacation, Holidays, and Personal Days  Employee Events, including Employee Appreciation Day, Holiday Party, etc.  Tuition Reimbursement Program Candidates must have unrestricted authority to work in the United States without sponsorship.  Merrick Bank is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other legally protected characteristic. The EEO is the Law poster is available here: http://www1.eeoc.gov/employers/poster.cfm  Please go to our website www.merrickbank.com to apply and learn more about our company  We are an equal opportunity employer. Merrick Bank will do a thorough background check for all hires. This includes a review of your personal credit history, drug testing, background check, and employment/personal references. A good credit history is important.  Other details Job Family Account Acquisition & Data Science Pay Type Salary",36,Merrick Bank 3.6,201 - 500 ,1997,Private Company,Banks and Credit Unions,Finance,N/A,79-131 ,South Jordan,null, UT,79000,131000,105000,27,Senior,1,0,0,0
143,AI Data Scientist,"A chance to provide active support to our sponsor�s vital national security mission and to build MITRE�s capabilities in the artificial intelligence and machine learning arenas. This is a strategic leadership role with the successful candidate also advising and working to expand MITRE�s internal capabilities and programs in artificial intelligence and machine learning. The selected candidate will work with MITRE management and sponsors to enhance the robustness of MITRE AI/ML capabilities and to have direct input into immediate and long term AI/ML technical direction of multiple sponsors. While still having a technical focus on current AI/ML technology and trends, this role will have small group management responsibilities and requires knowledge. From the technical side, this role requires the ability to perform technical evaluation and selection of technologies and alternatives for infrastructure and specific applications, formulation of computational strategies and hands on implementation with real world datasets. Activities may include in-depth analysis of technology, planning and conducting experiments, prototypes and simulations, producing assessments, and creating repeatable workflows and underlying technology requirements. On the strategic side, this role requires technical team building and planning for long term growth of MITRE�s support to sponsors in the AI/ML arena. The role also requires the ability to communicate findings and impacts to a diverse audience, including senior decision makers. This is an opportunity to shape and have a long lasting impact on AI/ML for national security tasks.  Technical degree with experience in software engineering and prototyping for analytics.  Minimum of 8 years of experience in a technical field, including but not limited to: Computer Science, Data Science, Computational Analytics, Informatics, or Machine Learning.  Experience with Python, R, and Jupyter Notebooks  Strong analytic, inferencing, critical thinking, and creative problem-solving skills.  Small group leadership experience.  Self-starter with ability to work alone and to build a diverse team.  Strong communication skills and ability to explain technical concepts to non-technical and senior decision-makers  Understanding of systems engineering processes including requirements analysis  Current TS/SCI clearance with polygraph Desired Skills  Doctorate in computational sciences or related field  Experience with data wrangling for analytics and machine learning  Familiarity with small scale and large scale AI/ML environments  Program strategy development and demonstrated leadership ability  Experience with cloud-based environments and other virtualization technologies  Current TS/SCI clearance with polygraph Additional comments  Due to the nature of the work and the immediacy of the need, a mandatory requirement is an appropriate, active clearance (TS/SCI with polygraph as accepted by the task sponsor) for the work program.",33,MITRE 3.3,5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,1 to 2 billion ,90-109 ,Bedford, VA, MA,90000,109000,99500,66,NA,1,0,0,0
215,AI Ops Data Scientist,"Company  AstraZeneca is a global, innovation-driven biopharmaceutical business that focuses on the discovery, development and commercialization of prescription medicines for some of the world's most serious diseases. But we're more than one of the world's leading pharmaceutical companies. At AstraZeneca, we're proud to have a unique workplace culture that inspires innovation and collaboration. Here, employees are empowered to express diverse perspectives and are made to feel valued, energized and rewarded for their ideas and creativity.  Role  We are looking for a data scientist to join our new AI Ops platform team in Science IT. The ideal candidate will have industry experience working in a range of different cloud environments where they devised and deployed large-scale production infrastructure and platforms for data science. The position will involve taking these skills and applying them to some of the most exciting data & prediction problems in drug discovery.  The successful candidate will be part of a new, close-knit team of deeply technical experts and together have the chance to create tools that will advance the standard of healthcare, improving the lives of millions of patients across the globe. Our data science environments will support major AI initiatives such as clinical trial data analysis, knowledge graphs, imaging & omics for our therapy areas. You will also have responsibility to help provide the frameworks for data scientists to develop scalable machine learning and predictive models with our growing data science community, in a safe and robust manner.  As a strong software leader and an expert in building complex systems, you will be responsible for inventing how we use technology, machine learning, and data to enable the productivity of AstraZeneca. You will help envision, build, deploy and develop our next generation of data engines and tools at scale. You will be bridging the gap between science and engineering and functioning with deep expertise in both worlds.  Key Accountabilities Liaise with R&D data scientists to understand their challenges and work with them to help productionise models and algorithms. Be part of the development roadmap to build and operationalise our data science environment, platforms and tooling. Support any external opportunities, through close partnership and engagement such as Benevolent.AI collaboration. Deployment of systems, applications and tooling for data science on cloud environments. Understanding of the necessary guardrails required for different use cases and data sensitivities. Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU). Provide the necessary infrastructure and platform to support the deployment and monitoring of ML solutions in production Optimizing solutions for performance and scalability. Liaise with the Data Engineering team to ensure that the platform and the solutions deployment therein benefit from an optimised and scalable data flow between source systems and analytical models Implementing custom machine learning code and developing benchmarking capabilities to monitor drift of any analyses over time. Understanding of the latest AI webservices and data science tools, from DataBricks to citizen data science tools like Dataiku, C3.AI and Domino. Experience working on regulatory data would be helpful but not essential. Liaise with other teams to enhance our technological stack, to enable the adoption of the latest advances in Data Processing and AI Being an active member of the Data Science team, you will benefit from, and contribute to, our expanding bank of Data Science algorithms and work efficiently with our data science infrastructure. Testing and assessing the quality of new tools. Team recruitment, training provision and coaching Candidate Knowledge, Skills and Experience BSc in Computer Science or related quantitative field or MSc/Ph.D degree in Computer Science or related quantitative field. More than 2 years of experience and demonstrable deep technical skills in one or more of the following areas: machine learning, recommendation systems, pattern recognition, natural language processing or computer vision. Experience managing an enterprise platform and service, handling new customer demand and feature requests. Strong software coding skills, with proficiency in Python and Scala preferred. Significant experience with AWS cloud environments, working knowledge of Google and Azure platforms. Knowledge of Kubernetes, S3, EC2, Sagemaker, Athena, RDS and Glue is essential. Certification in appropriate areas will be viewed favourably. Experience with best practice of data transport and storage within cloud system. Experience building large scale data processing pipelines. e. g. Hadoop/Spark and SQL. Experience provisioning computational resources in a variety of environments. Experience with containers and microservice architectures e.g. Kubernetes, Docker and serverless approaches. Experience with automation strategies e.g. CI/CD, gitops. Use of Data Science modelling tools e.g. R, Python, SAS and Data Science notebooks (e.g. Jupyter). Creative, collaborative, & product focused. Ability to just get things done.",40,AstraZeneca 4.0,10000 ,1913,Public Company,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,10+ billion ,79-106 ,Cambridge, MD, United Kingdom,79000,106000,92500,111,NA,1,1,0,0
645,"AI/ML - Machine Learning Scientist, Siri Understanding","Posted: May 2, 2020 Role Number: 200018211 Play a part in the next revolution in human-computer interaction. Supply to a product that is redefining mobile computing. Create groundbreaking technology for large-scale systems, spoken language, big data, and artificial intelligence. And work with the people who created the intelligent assistant that helps millions of people get things done � just by asking. Join the Siri Speech team at Apple. The Siri team is looking for exceptionally skilled and creative Engineers/Scientists eager to get Involved in hands-on work improving the Siri experience by applying deep machine learning. Key Qualifications Strong machine learning background in speech, computer vision, multi modal interaction In-depth hands-on experience in deep learning Strong software engineering abilities, ideally C++ and/or Python Passion for applied machine learning to Apple products Experience in deep machine learning and related toolkits, e.g. Tensorflow, PyTorch etc. a big plus Curious about new technologies and passionate about exploring new use cases Description The Siri Understanding team is looking for exceptional individuals to extend the core technology that let Siri interact and understand. You will be part of a cross-functional team consisting of software engineers as well as machine learning engineers/scientists and having a large impact on the Siri product. This is a unique opportunity to apply machine learning and deep learning techniques at the intersection of various areas such as speech recognition, visual understanding, natural language processing, multi-modal, TTS and dialogue management. You should be creative, proactive, and ready to communicate and collaborate with multiple teams. Education & Experience B.S. or M.S. or Ph.D. degree in Computer Science, or equivalent experience",41,Apple 4.1,10000 ,1976,Public Company,Computer Hardware and Software,Information Technology,10+ billion ,92-155 ,Cupertino, CA, CA,92000,155000,123500,48,NA,1,0,1,0
198,Analytics - Business Assurance Data Analyst,"Analytics - Business Assurance Data Analyst (Cedar Rapids, IA)  Position Summary GreatAmerica is a national commercial equipment finance company dedicated to helping manufacturers, vendors and dealers be more successful and keep their customers for a lifetime. While GreatAmerica has grown to more than 600 team members, our entrepreneurial spirit remains and endless opportunities lie ahead. We have experienced unparalleled year over year growth since our founding in 1992. GreatAmerica is structured in cross functional teams that allow individuals make informed decisions that benefit the company and our customers. There is no doubt in our minds we are building the greatest company of its kind, offering the finest products and services available anywhere. When you are part of the GreatAmerica team, you are part of the best. You are part of the future, part of an opportunity to grow professionally and to reach your potential while enjoying your work.    Position Summary  As a key member of Internal Audit, this role will explore innovative ways to leverage data as well as design and develop analytics/automation that will improve and optimize Internal Audit initiatives in helping to achieve the objectives of the annual audit plan. This role will also explore efficiencies in current activities by exploring automation, and influence the ways we think about data and use technology in the audit process. This position provides a unique opportunity to leverage data skills and advance one�s audit skills through exposure to the company�s many different functions.  Duties and Responsibilities Identifying, designing and developing analytics protocols, standards and reporting to support Internal Audit activities. Using technology tools to automate audit testing and develop techniques for continuous auditing and analyzing large volumes of data. Planning, performing, drawing conclusions and reporting on internal audits as assigned in accordance with the annual audit plan. Researching current internal audit and financial best practices/techniques with each engagement. Following up on audit recommendations to ensure resolution. Building/maintaining effective professional relationships within Internal Audit and Senior Leadership. Assisting in preparation of quarterly reports to the Audit Committee and Senior Leadership. Assisting external auditors with audits they have Internal Audit perform for their annual audit. Attending training/webinars/seminars to obtain appropriate level of annual Continuing Professional Education hours, with learning to be applied in the workplace. Providing input on department�s risk assessment and annual plan. Taking on special projects or assignments as requested.  Position Qualifications Competencies  For all GreatAmerica team members: Honesty/Integrity, Customer Oriented, Accountability, Tenacious, Communication Skills (Oral & Written), Adaptability  For this position: strong communication skills � both verbal and written, strong quantitative analytical and problem solving skills, detail-oriented, ability to see the big picture/think critically, and ability to get along well with others at all levels of the company/team player.  Education: Bachelor�s degree in a Business-related field (Accounting, Finance, Information Systems) or STEM field (Science, Technology, Engineering, Mathematics) is preferred.  Experience 2 - 3 years of relevant experience, advanced Excel, technical and/or data analytics knowledge a plus. Certification, or a desire to obtain certification preferred. Knowledge of the lease industry a plus.  Skills and Abilities  A mixture of multidisciplinary skills, ranging from data analytics, accounting, internal controls, auditing techniques and communication/presentation is preferred.  Advanced proficiency in Excel (Visual Basic and Pivot Tables), with general knowledge of Microsoft Suite preferred.  Data Visualization experience with tools such as Tableau is a plus.  Data Analytics / Business Intelligence experience is a plus.  Experience acquiring data via SQL routines is a plus.  Other Requirements  Good interpersonal and communication skills (both written & verbal), Ability and willingness to travel which is only occasional. Willing to work more than 40 hour weeks as the demands and the expectation of the department dictate",46,GreatAmerica Financial Services 4.6,501 - 1000 ,1992,Private Company,Lending,Finance,100 to 500 million ,56-97 ,Cedar Rapids, IA, IA,56000,97000,76500,32,NA,0,0,0,1
149,Analytics Manager,"Responsible for both high level and granular measurement of public and private variable marketing programs. Provide 1:1 program insights with regard to campaign offer performance and efficiency, audience segmentation and performance, ROI that drive future strategy  Provide Omni-channel performance metrics. Consult with modeling team to insure past program performance informs future audience modeling efforts. Assist with program business case development. Produce quarterly reporting of campaign results as well as additional ad hoc requests. Oversee team members work as needed. Multi-task across various programs and activities simultaneously  Must have: Subject Matter Expertise in 1:1 marketing program measurement Knowledge of SQL, Alteryx, and Microsoft Office preferred. Familiarity with A/B testing or experimental design (i.e., treated/control groups) is also helpful. Past experience analyzing marketing campaign results (e.g., incremental sales, net profit, ROI) Ability to query, join, and manipulate data (e.g., create new variables as needed) Experience meeting with clients directly to understand business needs and discuss findings Ability to create PowerPoints containing graphs and insights into findings Customer profiling experience Ability to present findings to the client and team meetings Additional Job Description  � Highly proficient utilizing SQL and Alteryx, tableau, Qlik, etc. to manipulate, arrange, query and present data  � Experience with complex problem solving � data manipulation, data quality, data modeling,statistical analysis and/or reporting  � Excellent interpersonal skills with people at all management and organizational levels  � Ability to respond in an effective and timely manner  � Subject matter expert in an analytics specialty  � BA / BS in Statistics, Mathematics, Econometrics or computer science  � Min 5-year experiences as analytics team lead or manager OneMagnify is an Equal Opportunity Employer.",44,OneMagnify 4.4,201 - 500 ,1967,Private Company,Advertising and Marketing,Business Services,N/A,90-109 ,Detroit, MI, MI,90000,109000,99500,57,NA,0,0,0,0
217,Analytics Manager - Data Mart,"We have an opportunity to join the Alliance as the Analytics Manager - Data Mart leading in the Analytics Services Department.  WHAT YOU'LL BE RESPONSIBLE FOR   Reporting to the Analytics Director, you will manage and lead the analytical data management function, including the gathering and assessment of business information needs for enterprise analytics and preparation of system requirements in order to create a single source of truth. Manage and lead the business information solution based Key Performance Indicator (KPI) dashboard reporting, customization, training and related integration with the Enterprise Data Warehouse (EDW). You will also manage, supervise, mentor and train assigned staff.  ABOUT THE TEAM  Our Analytics teams are skilled, focused, and highly collaborative. We work hard, have fun and take pride in how our work impacts the health outcomes for the communities we serve.  THE IDEAL CANDIDATE WILL HAVE Passion and drive to roll up their sleeves and be a hands on manager Expertise and passion in the design, maintenance and evaluation of comprehensive analytical data marts Strength in developing data management plans, data dictionaries Experience and excitement for developing new teams and processes Strong communication skills and the ability to partner with cross-functional teams Ability to lead and inspire others, while promoting an environment that supports professional growth, embraces complex challenges and celebrates accomplishments WHAT YOU'LL NEED TO BE SUCCESSFUL  To read the full position description, and list of requirements click here.  Knowledge of: Data warehouse and analytical data mart concepts SQL Tools and techniques of data analysis and information reporting Thorough knowledge of information repository issues and concepts Joint Application Design (JAD) facilitation or other requirements-gathering techniques Relational database concepts and the creation of queries and reports using SQL and Tableau Data elements and their relationship to data quality requirements Ability to: Develop work plans and workflows and organize and prioritize analytical data mart activities Interpret and apply complex principles, policies, terms and procedures Define issues, interpret data, identify solutions, and make recommendations for action Independently document, summarize and resolve complex issues and projects Train, mentor, supervise, and evaluate the work of staff Education and Experience: Bachelor's degree in Computer Science, Information Science or a related field and seven years of experience performing data analysis and manipulation which included some experience leading or supervising staff; or an equivalent combination of education and experience may be qualifying  OUR BENEFITS Medical, Dental and Vision Plans Ample Paid Time Off 11 Paid Holidays per year 401(a) Retirement Plan 457 Deferred Compensation Plan Robust Health and Wellness Program EV Charging Stations And many more ABOUT US   We are a group of over 500 dedicated employees, committed to our mission of providing accessible, quality health care that is guided by local innovation. We feel that our work is bigger than ourselves. We leave work each day knowing that we made a difference in the community around us.  Join us at Central California Alliance for Health (the Alliance), where you will be part of a culture that is respectful, diverse, professional and fun, and where you are empowered to do your best work. As a regional non-profit health plan, we serve over 330,000 members in Santa Cruz, Monterey and Merced counties. To learn more about us, click here or check out this video.  At this time the Alliance does not provide any type of sponsorship. Applicants must be currently authorized to work in the United States on a full-time, ongoing basis without current or future needs for sponsorship.",35,Central California Alliance for Health 3.5,501 - 1000 ,1996,Nonprofit Organization,Health Care Services and Hospitals,Health Care,500 million to 1 billion ,79-106 ,Scotts Valley, CA, CA,79000,106000,92500,28,NA,0,0,0,0
382,Applied AI Scientist / Engineer,"Applied AI Scientist Engineer New Iron is leading the search on an Applied AI Scientist in Boston,MA. You will join a tight-knit team to enhance the productivity and quality for world-class industrial processes. This is an exciting opportunity for a strong polymath developer with broad and comprehensive skills to explore the application of AI ideas and techniques to modern manufacturing. The ideal candidate is a polymath developer who loves exploring new ideas in code, and has the skills to quickly develop proof-of-concepts using machine learning and AI techniques. This is not a productization job, but an exploration of whatrsquos possible. We have oodles of real world data - but this is not a data cleansing or data structuring position. Priority will be given to candidates who are excited about applying AI to vast data sets of differing types, to deliver real-world manufacturing solutions. If you have a passion for data and machine learning, wersquod love to help you find your next career move. Responsibilities include Advanced machine learning algorithm development Harden statistical models based on physical and operational insightsconstraints Algorithm prototyping, validation and implementation Evaluate algorithm performance, and help transition algorithms into existing products Report on research results to sponsors and wider community via briefings, conferences and peer-reviewed publications Data analysis, data pre-processing, and feature engineering Required 3-5 years of expereince in ML AI Development or related experience Strong background in applied statistics and linear algebra, applied optimization Demonstrated scientific modeling and data analysis skills Proficiency with statistical computer languages such as Python andor MatLab Expertise with one or more deep learning frameworks such as Tensorflow, Keras, TorchPytTorch, Chainer Proficiency with SQL, Graph stores, or NoSQL stores Master of Science Degree is strongly preferred, but not required (Mathematics, Chemical Engineering, or Computer Science) This is a full time direct-role based in Boston,MA. We are unable to sponsor or transfer visas at this time.Principals only. Recruiters, do not contact this job poster.",50,"New Iron Group, Inc. 5.0",1 - 50 ,2003,Contract,Computer Hardware and Software,Information Technology,N/A,112-116 ,Austin, MA, TX,112000,116000,114000,21,NA,1,0,0,0
399,Applied Computer Scientist,"STR is hiring an Applied Computer Scientist to be part of a great team of multi-disciplinary researchers and engineers dedicated to developing cutting-edge technologies with significant and immediate impact on our national security. We believe that each employee has a unique set of skills, experiences, and perspectives that are essential to providing our customers with innovative solutions. The skills listed below are intended to give you a sense for the position. If you see an overlap with your skills, go ahead and apply!  An applicant for this position must be enthusiastic about hands-on programming of advanced algorithms and distributed systems for fast-paced research and development applications. An ideal applicant should have experience in, and enjoy, implementing and customizing non-trivial algorithms in compact, efficient C without external library support. Additionally, applicants should be ready to participate in detailed analysis and debugging of compiled code.  Duties may include: Work as part of a small, focused, high-performing team to architect, develop, Implement, debug, and optimize algorithms in C a based on provided algorithm descriptions (e.g. from published papers) Engage in detailed low-level analysis of computer state (e.g. extended debugging) Required Skills: US Citizen with the ability to obtain a Top Secret (TS) Security Clearance BS, MS or PhD in Computer Science, Mathematics, Computer Engineering, Electrical Engineering, Mathematics, Cybersecurity or related field Strong algorithmic programming skills in C Programming skills in x86 Assembly Experience using source code management (Git, Subversion) Desired Skills: Active Security Clearance at the TS level Discrete optimization Hands-on knowledge of binary file structures and formats, and extracting and manipulating binary data Experience with operating system internals including memory/process/thread management Experience with custom emulator and/or compiler development Experience in cybersecurity (reverse engineering, vulnerability research, penetration testing)",45,Systems & Technology Research 4.5,201 - 500 ,2010,Private Company,Aerospace and Defense,Aerospace and Defense,100 to 500 million ,110-163 ,Woburn, MA, MA,110000,163000,136500,14,NA,0,0,0,0
